Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature
2793.8331325192703,0,6462.923666262603,0,0,0,0,0,0,0,0,0,0
2109.6307719704055,0,498.85399272233843,0,0,0,0,0,0,0,0,0,0
2297.206757626482,0,633.136270794553,0,0,0,0,0,0,0,0,0,0
2346.896500893673,0,633.5476714319578,0,0,0,0,0,0,0,0,0,0
2803.4747803242963,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0
5053.9470888118785,0,2578.7047754229443,0,0,0,0,0,0,0,0,0,0
9395.406209798524,0,11287.896554081835,0,0,0,0,0,0,0,0,0,0
8023.697540468177,0,18436.812225043202,0,0,0,0,0,0,0,0,0,0
9180.887709773062,0,18955.942398310774,0,0,0,0,0,0,0,0,0,0
9985.554445309168,0,17811.099872631436,0,0,0,0,0,0,0,0,0,0
11771.793412279418,0,18476.2199378242,0,0,0,0,0,0,0,0,0,0
12336.319430655021,0,17555.96198258687,0,0,0,0,0,0,0,0,0,0
11357.526670012308,0,16501.142102350434,0,0,0,0,0,0,0,0,0,0
12163.399054473148,0,15027.788076772316,0,0,0,0,0,0,0,0,0,0
11482.631787084994,0,15447.397574498174,0,0,0,0,0,0,0,0,0,0
11161.488122772525,0,16418.121048369754,0,0,0,0,0,0,0,0,0,0
12076.391293244347,0,17056.867420897015,0,0,0,0,0,0,0,0,0,0
11737.5757198932,0,16862.255705283744,0,0,0,0,0,0,0,0,0,0
11307.7996855791,0,16584.080032629605,0,0,0,0,0,0,0,0,0,0
10282.903946653842,0,16067.815230980517,0,0,0,0,0,0,0,0,0,0
11542.125937361518,0,16078.173682595643,0,0,0,0,0,0,0,0,0,0
9655.7817412732,0,16289.48787542019,0,0,0,0,0,0,0,0,0,0
6688.764677023589,0,16965.391512318463,0,0,0,0,0,0,0,0,0,0
4315.243120675546,0,17847.01746006067,0,0,0,0,0,0,0,0,0,0
2793.829978043535,0,6464.311965986279,0,0,0,0,0,0,0,0,0,0
2109.6307984093805,0,513.7704664663246,0,0,0,0,0,0,0,0,0,0
2297.0312081051225,0,633.136270794553,0,0,0,0,0,0,0,0,0,0
2109.6307448721864,0,623.7070904795788,0,0,0,0,0,0,0,0,0,0
5405.75695676211,0,6900.683651152135,0,0,0,0,0,0,0,0,0,0
4320.913665426764,0,2532.545083178212,0,0,0,0,0,0,0,0,0,0
6710.681407126397,0,9323.209440497427,0,0,0,0,0,0,0,0,0,0
8030.36709190413,0,20026.628485985715,0,0,0,0,0,0,0,0,0,0
9183.969440504534,0,19388.874741999152,0,0,0,0,0,0,0,0,0,0
